artist,title,artist_list,total_weeks,peak_rank,debut_rank,peak_week,rise_rate
Post Malone,White Iverson,['Post Malone'],16,14.0,22.0,3,2.6666666666666665
Post Malone,Wow.,['Post Malone'],44,2.0,47.0,13,3.4615384615384617
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),"['Post Malone', 'Swae Lee']",53,1.0,9.0,11,0.7272727272727273
Post Malone Featuring 21 Savage,Rockstar,"['Post Malone', '21 Savage']",40,1.0,2.0,3,0.3333333333333333
Post Malone Featuring Roddy Ricch,Cooped Up,"['Post Malone', 'Roddy Ricch']",15,12.0,29.0,3,5.666666666666667
Post Malone Featuring Ty Dolla $ign,Psycho,"['Post Malone', 'Ty Dolla $ign']",39,1.0,2.0,14,0.07142857142857142
Powfu Featuring beabadoobee,Death Bed,"['Powfu', 'beabadoobee']",26,23.0,71.0,12,4.0
Prince,1999,['Prince'],2,27.0,41.0,1,14.0
Prince,Little Red Corvette,['Prince'],2,20.0,29.0,1,9.0
Prince,When Doves Cry,['Prince'],2,8.0,20.0,1,12.0
Prince And The Revolution,Kiss,"['Prince', 'The Revolution']",2,23.0,28.0,1,5.0
Prince And The Revolution,Let's Go Crazy,"['Prince', 'The Revolution']",2,25.0,39.0,1,14.0
Prince And The Revolution,Purple Rain,"['Prince', 'The Revolution']",2,4.0,17.0,1,13.0
Quavo,W O R K I N  M E,['Quavo'],15,52.0,72.0,2,10.0
Quavo & Lil Yachty,Ice Tray,"['Quavo', 'Lil Yachty']",5,74.0,80.0,1,6.0
"Quavo, Takeoff & Offset",Too Hotty,"['Quavo', 'Takeoff', 'Offset']",4,91.0,97.0,1,6.0
RAYE,Where Is My Husband!,['RAYE'],12,37.0,90.0,8,6.625
RAYE Featuring 070 Shake,Escapism,"['RAYE', '070 Shake']",23,22.0,100.0,6,13.0
ROSALIA,Despecha,['ROSALIA'],12,63.0,98.0,4,8.75
ROSE & Bruno Mars,APT.,"['ROSE', 'Bruno Mars']",45,3.0,8.0,13,0.38461538461538464
Rachel Platten,Stand By You,['Rachel Platten'],16,37.0,77.0,6,6.666666666666667
Rae Sremmurd,Come Get Her,['Rae Sremmurd'],6,71.0,84.0,2,6.5
Rae Sremmurd,Swang,['Rae Sremmurd'],26,26.0,99.0,18,4.055555555555555
Rae Sremmurd & Juicy J,Powerglide,"['Rae Sremmurd', 'Juicy J']",17,28.0,76.0,9,5.333333333333333
Rae Sremmurd Featuring Gucci Mane,Black Beatles,"['Rae Sremmurd', 'Gucci Mane']",27,1.0,96.0,8,11.875
Randy Houser,We Went,['Randy Houser'],12,60.0,98.0,9,4.222222222222222
Rascal Flatts,I Like The Sound Of That,['Rascal Flatts'],16,52.0,87.0,9,3.888888888888889
Rascal Flatts,Yours If You Want It,['Rascal Flatts'],10,71.0,76.0,8,0.625
Rauw Alejandro,Todo de Ti,['Rauw Alejandro'],20,32.0,66.0,4,8.5
Ravyn Lenae,Love Me Not,['Ravyn Lenae'],34,5.0,81.0,19,4.0
Real Boston Richey,Help Me,['Real Boston Richey'],29,47.0,93.0,16,2.875
RealestK,WFM,['RealestK'],4,67.0,75.0,1,8.0
Regard,Ride It.,['Regard'],10,62.0,96.0,4,8.5
Regard x Troye Sivan x Tate McRae,You,"['Regard', 'Troye Sivan', 'Tate McRae']",11,58.0,100.0,6,7.0
Rema & Selena Gomez,Calm Down,"['Rema', 'Selena Gomez']",57,3.0,91.0,39,2.2564102564102564
Rich The Kid,Plug Walk,['Rich The Kid'],20,13.0,62.0,7,7.0
Rich The Kid Featuring Kendrick Lamar,New Freezer,"['Rich The Kid', 'Kendrick Lamar']",19,41.0,75.0,9,3.7777777777777777
Rihanna,Breakin' Dishes,['Rihanna'],8,82.0,86.0,2,2.0
Rihanna,Kiss It Better,['Rihanna'],12,62.0,80.0,5,3.6
Rihanna,Needed Me,['Rihanna'],45,7.0,91.0,19,4.421052631578948
Rihanna Featuring Drake,Work,"['Rihanna', 'Drake']",36,1.0,9.0,3,2.6666666666666665
Riley Green,I Wish Grandpas Never Died,['Riley Green'],12,66.0,90.0,6,4.0
Riley Green Featuring Ella Langley,Don't Mind If I Do,"['Riley Green', 'Ella Langley']",20,32.0,74.0,16,2.625
Rob $tone Featuring J. Davi$ & Spooks,Chill Bill,"['Rob $tone', 'J. Davi$', 'Spooks']",26,29.0,97.0,14,4.857142857142857
Robin Schulz Featuring Francesco Yates,Sugar,"['Robin Schulz', 'Francesco Yates']",15,44.0,87.0,9,4.777777777777778
Rod Wave,Break My Heart,['Rod Wave'],2,76.0,91.0,1,15.0
Rod Wave,Cold December,['Rod Wave'],6,38.0,58.0,1,20.0
Rod Wave,Come See Me,['Rod Wave'],6,19.0,56.0,2,18.5
Rod Wave,Fall Fast In Love,['Rod Wave'],4,49.0,68.0,2,9.5
Rod Wave,Heart On Ice,['Rod Wave'],27,25.0,56.0,21,1.4761904761904763
Rod Wave,Leavin,['Rod Wave'],2,63.0,68.0,1,5.0
Rod Wave,Passport Junkie,['Rod Wave'],6,51.0,61.0,4,2.5
Rod Wave,Street Runner,['Rod Wave'],10,16.0,36.0,2,10.0
Rod Wave & Kevin Gates,Cuban Links,"['Rod Wave', 'Kevin Gates']",3,92.0,95.0,1,3.0
Rod Wave Featuring ATR Son Son,Rags2Riches,"['Rod Wave', 'ATR Son Son']",20,12.0,96.0,6,14.0
Roddy Ricch,The Box,['Roddy Ricch'],38,1.0,47.0,4,11.5
Roddy Ricch Featuring A Boogie wit da Hoodie,Tip Toe,"['Roddy Ricch', 'A Boogie wit da Hoodie']",7,73.0,83.0,1,10.0
Roddy Ricch Featuring Mustard,High Fashion,"['Roddy Ricch', 'Mustard']",28,20.0,70.0,3,16.666666666666668
Rumi & JINU: EJAE & Andrew Choi,Free,"['Rumi', 'JINU', 'EJAE', 'Andrew Choi']",20,23.0,58.0,7,5.0
Runaway June,Buy My Own Drinks,['Runaway June'],5,88.0,90.0,1,2.0
Russ,Losin Control,['Russ'],19,62.0,89.0,10,2.7
Russ & Bia,BEST ON EARTH,"['Russ', 'Bia']",20,46.0,100.0,14,3.857142857142857
Russell Dickerson,Happen To Me,['Russell Dickerson'],35,28.0,71.0,21,2.0476190476190474
Russell Dickerson,Love You Like I Used To,['Russell Dickerson'],20,31.0,91.0,9,6.666666666666667
Russell Dickerson,Yours,['Russell Dickerson'],19,49.0,84.0,12,2.9166666666666665
Ruth B,Lost Boy,['Ruth B'],22,24.0,75.0,16,3.1875
Rylo Rodriguez Featuring NoCap,Thang For You,"['Rylo Rodriguez', 'NoCap']",2,91.0,96.0,1,5.0
SHAED,Trampoline,['SHAED'],39,13.0,99.0,24,3.5833333333333335
SOB X RBE,Paramedic!,"['SOB', 'RBE']",4,65.0,67.0,1,2.0
SZA,Another Life,['SZA'],2,64.0,73.0,1,9.0
SZA,BMF,['SZA'],20,29.0,55.0,1,26.0
SZA,Diamond Boy (DTM),['SZA'],2,60.0,62.0,1,2.0
SZA,Drive,['SZA'],4,51.0,59.0,1,8.0
SZA,Good Days,['SZA'],20,9.0,38.0,4,7.25
SZA,Scorsese Baby Daddy,['SZA'],5,41.0,63.0,1,22.0
SZA,The Weekend,['SZA'],24,33.0,89.0,20,2.8
SZA,What Do I Do,['SZA'],2,62.0,64.0,1,2.0
SZA Featuring Travis Scott,Love Galore,"['SZA', 'Travis Scott']",20,32.0,70.0,15,2.533333333333333
SZA With Kendrick Lamar,30 For 30,"['SZA', 'Kendrick Lamar']",36,10.0,45.0,7,5.0
"SZA, The Weeknd & Travis Scott",Power Is Power,"['SZA', 'The Weeknd', 'Travis Scott']",2,90.0,92.0,1,2.0
Sabrina Carpenter,Espresso,['Sabrina Carpenter'],65,3.0,7.0,8,0.5
Sabrina Carpenter,Feather,['Sabrina Carpenter'],37,21.0,100.0,19,4.157894736842105
Sabrina Carpenter,Nonsense,['Sabrina Carpenter'],19,56.0,75.0,1,19.0
Saint Jhn,Roses,['Saint Jhn'],34,4.0,55.0,13,3.923076923076923
"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",Soda Pop,"['Saja Boys', 'Andrew Choi', 'Neckwav', 'Danny Chung', 'Kevin Woo', 'samUIL Lee']",22,3.0,49.0,12,3.8333333333333335
"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",Your Idol,"['Saja Boys', 'Andrew Choi', 'Neckwav', 'Danny Chung', 'Kevin Woo', 'samUIL Lee']",23,4.0,77.0,7,10.428571428571429
Sam Barber Featuring Avery Anna,Indigo,"['Sam Barber', 'Avery Anna']",32,40.0,98.0,18,3.2222222222222223
Sam Hunt,23,['Sam Hunt'],20,50.0,99.0,13,3.769230769230769
Sam Hunt,Body Like A Back Road,['Sam Hunt'],41,6.0,38.0,9,3.5555555555555554
Sam Hunt,Break Up In A Small Town,['Sam Hunt'],10,29.0,34.0,2,2.5
Sam Hunt,Breaking Up Was Easy In The 90's,['Sam Hunt'],20,32.0,92.0,10,6.0
Sam Hunt,Hard To Forget,['Sam Hunt'],20,26.0,91.0,12,5.416666666666667
Sam Hunt,Kinfolks,['Sam Hunt'],21,34.0,64.0,16,1.875
Sam Hunt,Make You Miss Me,['Sam Hunt'],19,45.0,93.0,12,4.0
Sam Smith,Diamonds,['Sam Smith'],20,39.0,51.0,15,0.8
Sam Smith,How Do You Sleep?,['Sam Smith'],20,24.0,29.0,10,0.5
Sam Smith,Too Good At Goodbyes,['Sam Smith'],23,4.0,5.0,8,0.125
Sam Smith & Kim Petras,Unholy,"['Sam Smith', 'Kim Petras']",35,1.0,3.0,3,0.6666666666666666
Sam Smith & Normani,Dancing With A Stranger,"['Sam Smith', 'Normani']",45,7.0,33.0,13,2.0
Sarah Jeffery,Queen Of Mean,['Sarah Jeffery'],8,49.0,67.0,1,18.0
Saweetie,My Type,['Saweetie'],20,21.0,81.0,8,7.5
Saweetie,Tap In,['Saweetie'],19,20.0,91.0,8,8.875
Saweetie Featuring Doja Cat,Best Friend,"['Saweetie', 'Doja Cat']",30,14.0,39.0,12,2.0833333333333335
Scotty McCreery,Damn Strait,['Scotty McCreery'],20,32.0,82.0,16,3.125
Scotty McCreery,Five More Minutes,['Scotty McCreery'],19,44.0,98.0,10,5.4
Scotty McCreery,In Between,['Scotty McCreery'],13,53.0,93.0,9,4.444444444444445
Scotty McCreery,It Matters To Her,['Scotty McCreery'],10,49.0,100.0,7,7.285714285714286
Scotty McCreery,This Is It,['Scotty McCreery'],20,42.0,96.0,8,6.75
Scotty McCreery,You Time,['Scotty McCreery'],12,50.0,96.0,7,6.571428571428571
Scotty McCreery & Hootie & The Blowfish,Bottle Rockets,"['Scotty McCreery', 'Hootie', 'The Blowfish']",20,32.0,80.0,14,3.4285714285714284
Sebastian Yatra,Dos Oruguitas,['Sebastian Yatra'],16,36.0,83.0,3,15.666666666666666
"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,"['Sech', 'Darell', 'Nicky Jam', 'Ozuna', 'Anuel AA']",20,34.0,100.0,7,9.428571428571429
Selena Gomez,Back To You,['Selena Gomez'],26,18.0,50.0,18,1.7777777777777777
Selena Gomez,Bad Liar,['Selena Gomez'],14,20.0,80.0,5,12.0
Selena Gomez,Hands To Myself,['Selena Gomez'],19,7.0,62.0,6,9.166666666666666
Selena Gomez,Kill Em With Kindness,['Selena Gomez'],15,39.0,74.0,3,11.666666666666666
Selena Gomez,Lose You To Love Me,['Selena Gomez'],23,1.0,15.0,1,14.0
Selena Gomez,Same Old Love,['Selena Gomez'],15,5.0,6.0,4,0.25
Selena Gomez Featuring Gucci Mane,Fetish,"['Selena Gomez', 'Gucci Mane']",12,27.0,92.0,1,65.0
Selena Gomez X Marshmello,Wolves,"['Selena Gomez', 'Marshmello']",22,20.0,88.0,4,17.0
"Selena Gomez, Benny Blanco & The Marias",Ojos Tristes,"['Selena Gomez', 'Benny Blanco', 'The Marias']",5,56.0,59.0,1,3.0
Sexyy Red,Get It Sexyy,['Sexyy Red'],20,20.0,23.0,2,1.5
Sexyy Red,SkeeYee,['Sexyy Red'],12,62.0,67.0,4,1.25
Shaboozey,A Bar Song (Tipsy),['Shaboozey'],77,1.0,36.0,11,3.1818181818181817
Shakira & Rauw Alejandro,Te Felicito,"['Shakira', 'Rauw Alejandro']",8,67.0,88.0,1,21.0
Shawn Mendes,In My Blood,['Shawn Mendes'],23,11.0,72.0,10,6.1
Shawn Mendes,Stitches,['Shawn Mendes'],23,6.0,9.0,2,1.5
Shawn Mendes,There's Nothing Holdin' Me Back,['Shawn Mendes'],34,6.0,44.0,15,2.533333333333333
Shawn Mendes,Treat You Better,['Shawn Mendes'],39,6.0,34.0,15,1.8666666666666667
Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,"['Shawn Mendes', 'Camila Cabello']",16,20.0,46.0,4,6.5
Shawn Mendes & Camila Cabello,Senorita,"['Shawn Mendes', 'Camila Cabello']",37,1.0,2.0,8,0.125
She & Him,I Thought I Saw Your Face Today,['She & Him'],2,74.0,99.0,1,25.0
Sheck Wes,Mo Bamba,['Sheck Wes'],28,6.0,82.0,13,5.846153846153846
Shoreline Mafia Presents OhGeesy & Fenix Flexin,Heat Stick,"['Shoreline Mafia', 'OhGeesy', 'Fenix Flexin']",3,97.0,98.0,1,1.0
Sia Featuring Kendrick Lamar,The Greatest,"['Sia', 'Kendrick Lamar']",23,18.0,52.0,11,3.090909090909091
Sia Featuring Sean Paul,Cheap Thrills,"['Sia', 'Sean Paul']",52,1.0,81.0,22,3.6363636363636362
Silento,Watch Me,['Silento'],9,19.0,27.0,1,8.0
Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window,"['Silk Sonic Bruno Mars', 'Anderson .Paak']",20,5.0,8.0,1,3.0
Ski Mask The Slump God,Faucet Failure,['Ski Mask The Slump God'],11,87.0,100.0,1,13.0
Skrillex & Rick Ross,Purple Lamborghini,"['Skrillex', 'Rick Ross']",10,33.0,67.0,2,17.0
Sleepy Hallow,2055,['Sleepy Hallow'],17,51.0,87.0,4,9.0
"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend,"['Sofi Tukker', 'NERVO', 'The Knocks', 'Alisa Ueno']",5,81.0,100.0,2,9.5
Sophie Ellis-Bextor,Murder On The Dancefloor,['Sophie Ellis-Bextor'],12,51.0,98.0,3,15.666666666666666
SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box,"['SpotemGottem', 'Pooh Shiesty', 'DaBaby']",23,12.0,84.0,12,6.0
StaySolidRocky,Party Girl,['StaySolidRocky'],20,21.0,84.0,6,10.5
Stephanie Beatriz,Waiting On A Miracle,['Stephanie Beatriz'],12,48.0,82.0,3,11.333333333333334
"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,"['Stephanie Beatriz', 'Olga Merediz', 'Encanto Cast']",16,20.0,62.0,3,14.0
"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",All Of You,"['Stephanie Beatriz', 'Olga Merediz', 'John Leguizamo', 'Adassa', 'Maluma', 'Encanto Cast']",7,71.0,94.0,3,7.666666666666667
Steve Lacy,Bad Habit,['Steve Lacy'],35,1.0,100.0,12,8.25
Steve Lacy,Static,['Steve Lacy'],7,78.0,98.0,3,6.666666666666667
Stromae & Pomme,Ma Meilleure Ennemie,"['Stromae', 'Pomme']",2,69.0,95.0,1,26.0
Summer Walker X Drake,Girls Need Love,"['Summer Walker', 'Drake']",20,37.0,87.0,1,50.0
Superstar Pride,Painting Pictures,['Superstar Pride'],15,25.0,99.0,2,37.0
Surf Mesa Featuring Emilee,ily,"['Surf Mesa', 'Emilee']",28,23.0,100.0,24,3.2083333333333335
Surfaces,Sunday Best,['Surfaces'],21,19.0,98.0,14,5.642857142857143
THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,"['THE ANXIETY', 'WILLOW', 'Tyler Cole']",26,21.0,64.0,7,6.142857142857143
TK Kravitz Featuring Jacqueez,Ocean,"['TK Kravitz', 'Jacqueez']",3,76.0,87.0,2,5.5
Tai Verdes,A-O-K,['Tai Verdes'],19,34.0,83.0,13,3.769230769230769
Tame Impala & JENNIE,Dracula,"['Tame Impala', 'JENNIE']",12,30.0,55.0,5,5.0
Tate McRae,Greedy,['Tate McRae'],42,3.0,33.0,15,2.0
Tate McRae,She's All I Wanna Be,['Tate McRae'],20,44.0,52.0,7,1.1428571428571428
Tate McRae,Sports Car,['Tate McRae'],23,16.0,21.0,4,1.25
Tate McRae,You Broke Me First.,['Tate McRae'],38,17.0,95.0,27,2.888888888888889
Taylor Swift,Blank Space,['Taylor Swift'],2,46.0,49.0,1,3.0
Taylor Swift,Christmas Tree Farm (Old Timey Version),['Taylor Swift'],5,62.0,82.0,3,6.666666666666667
Taylor Swift,Delicate,['Taylor Swift'],35,12.0,84.0,18,4.0
Taylor Swift,Look What You Made Me Do,['Taylor Swift'],19,1.0,77.0,1,76.0
Taylor Swift,Lover,['Taylor Swift'],22,10.0,19.0,1,9.0
Taylor Swift,Mr. Perfectly Fine (Taylor's Version) (From The Vault),['Taylor Swift'],3,30.0,90.0,1,60.0
Taylor Swift,New Romantics,['Taylor Swift'],7,46.0,73.0,5,5.4
Taylor Swift,Out Of The Woods,['Taylor Swift'],8,44.0,46.0,3,0.6666666666666666
Taylor Swift,Wildest Dreams,['Taylor Swift'],11,18.0,23.0,2,2.5
Taylor Swift,You're Losing Me (From The Vault),['Taylor Swift'],7,27.0,46.0,1,19.0
Taylor Swift Featuring Brendon Urie,ME!,"['Taylor Swift', 'Brendon Urie']",20,2.0,100.0,1,98.0
Taylor Swift Featuring Ed Sheeran & Future,End Game,"['Taylor Swift', 'Ed Sheeran', 'Future']",13,18.0,86.0,7,9.714285714285714
Teddy Swims,The Door,['Teddy Swims'],25,24.0,94.0,17,4.117647058823529
Tee Grizzley,First Day Out,['Tee Grizzley'],20,48.0,88.0,12,3.3333333333333335
Tems,Free Mind,['Tems'],21,46.0,90.0,11,4.0
Tenille Arts,Somebody Like That,['Tenille Arts'],16,50.0,97.0,13,3.6153846153846154
That Mexican OT,02.02.99,['That Mexican OT'],3,74.0,88.0,1,14.0
"That Mexican OT, Paul Wall & DRODi",Johnny Dang,"['That Mexican OT', 'Paul Wall', 'DRODi']",12,65.0,97.0,5,6.4
The Chainsmokers,Honest,['The Chainsmokers'],4,77.0,88.0,1,11.0
The Chainsmokers,Paris,['The Chainsmokers'],20,6.0,7.0,5,0.2
The Chainsmokers,The One,['The Chainsmokers'],2,78.0,91.0,1,13.0
The Chainsmokers & Bebe Rexha,Call You Mine,"['The Chainsmokers', 'Bebe Rexha']",14,56.0,67.0,9,1.2222222222222223
The Chainsmokers & Coldplay,Something Just Like This,"['The Chainsmokers', 'Coldplay']",39,3.0,56.0,5,10.6
The Chainsmokers Featuring 5 Seconds of Summer,Who Do You Love,"['The Chainsmokers', '5 Seconds of Summer']",16,52.0,56.0,6,0.6666666666666666
The Chainsmokers Featuring Halsey,Closer,"['The Chainsmokers', 'Halsey']",52,1.0,9.0,2,4.0
The Chainsmokers Featuring ROZES,Roses,"['The Chainsmokers', 'ROZES']",23,6.0,26.0,6,3.3333333333333335
The Kid Laroi,Nights Like This,['The Kid Laroi'],20,47.0,76.0,1,29.0
The Kid Laroi,Without You,['The Kid Laroi'],38,8.0,63.0,21,2.619047619047619
The Kid Laroi & Justin Bieber,Stay,"['The Kid Laroi', 'Justin Bieber']",63,1.0,3.0,3,0.6666666666666666
The Marias,No One Noticed,['The Marias'],41,22.0,90.0,7,9.714285714285714
The Revivalists,Wish I Knew You,['The Revivalists'],9,84.0,93.0,5,1.8
The Weeknd,Acquainted,['The Weeknd'],15,70.0,100.0,10,3.0
The Weeknd,Heartless,['The Weeknd'],23,1.0,32.0,1,31.0
The Weeknd,Party Monster,['The Weeknd'],19,16.0,39.0,1,23.0
The Weeknd Featuring Daft Punk,I Feel It Coming,"['The Weeknd', 'Daft Punk']",26,4.0,48.0,18,2.4444444444444446
The Weeknd Featuring Daft Punk,Starboy,"['The Weeknd', 'Daft Punk']",30,1.0,40.0,13,3.0
Thomas Rhett,After All The Bars Are Closed,['Thomas Rhett'],21,35.0,63.0,15,1.8666666666666667
Thomas Rhett,Beautiful As You,['Thomas Rhett'],24,50.0,96.0,23,2.0
Thomas Rhett,Country Again,['Thomas Rhett'],20,42.0,73.0,16,1.9375
Thomas Rhett,Life Changes,['Thomas Rhett'],14,36.0,92.0,9,6.222222222222222
Thomas Rhett,Look What God Gave Her,['Thomas Rhett'],20,32.0,52.0,13,1.5384615384615385
Thomas Rhett,Marry Me,['Thomas Rhett'],19,30.0,97.0,13,5.153846153846154
Thomas Rhett,Remember You Young,['Thomas Rhett'],18,53.0,100.0,8,5.875
Thomas Rhett,Sixteen,['Thomas Rhett'],15,42.0,91.0,7,7.0
Thomas Rhett,Star Of The Show,['Thomas Rhett'],19,45.0,88.0,12,3.5833333333333335
Thomas Rhett,T-Shirt,['Thomas Rhett'],20,41.0,92.0,13,3.923076923076923
Thomas Rhett,Unforgettable,['Thomas Rhett'],20,47.0,68.0,6,3.5
Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,"['Thomas Rhett', 'Jon Pardi']",18,36.0,91.0,8,6.875
Thomas Rhett Featuring Maren Morris,Craving You,"['Thomas Rhett', 'Maren Morris']",20,39.0,53.0,13,1.0769230769230769
"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,"['Thomas Rhett', 'Reba McEntire', 'Hillary Scott', 'Chris Tomlin', 'Keith Urban']",22,42.0,71.0,21,1.380952380952381
Thomas Rhett Featuring Teddy Swims,Somethin' 'Bout A Woman,"['Thomas Rhett', 'Teddy Swims']",6,65.0,80.0,3,5.0
Tiesto & Ava Max,The Motto,"['Tiesto', 'Ava Max']",16,42.0,95.0,8,6.625
Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,"['Tiesto', 'Dzeko', 'Preme', 'Post Malone']",19,52.0,88.0,9,4.0
Tiesto Featuring Tate McRae,10:35,"['Tiesto', 'Tate McRae']",9,69.0,72.0,2,1.5
Tim McGraw,7500 OBO,['Tim McGraw'],8,66.0,99.0,6,5.5
Tim McGraw,How I'll Always Be,['Tim McGraw'],12,70.0,99.0,10,2.9
Tinashe,Nasty,['Tinashe'],16,61.0,90.0,3,9.666666666666666
Tito Double P,El Lokeron,['Tito Double P'],8,73.0,92.0,3,6.333333333333333
Tito Double P,Tattoo,['Tito Double P'],8,72.0,85.0,1,13.0
Tito Double P & Peso Pluma,Dos Dias,"['Tito Double P', 'Peso Pluma']",20,51.0,84.0,4,8.25
Tommy Richman,Devil Is A Lie,['Tommy Richman'],13,32.0,47.0,2,7.5
Tones And I,Dance Monkey,['Tones And I'],36,4.0,96.0,19,4.842105263157895
Toosii,Favorite Song,['Toosii'],27,5.0,51.0,13,3.5384615384615383
Tori Kelly,Hollow,['Tori Kelly'],11,68.0,98.0,9,3.3333333333333335
Tory Lanez,Luv,['Tory Lanez'],22,19.0,96.0,10,7.7
Tory Lanez,Say It,['Tory Lanez'],16,23.0,28.0,5,1.0
Tory Lanez,The Color Violet,['Tory Lanez'],9,63.0,87.0,3,8.0
Tory Lanez & Rich The Kid,Talk To Me,"['Tory Lanez', 'Rich The Kid']",16,43.0,76.0,9,3.6666666666666665
Travis Denning,After A Few,['Travis Denning'],15,31.0,78.0,9,5.222222222222222
Travis Scott,Beibs In The Trap,['Travis Scott'],3,90.0,93.0,1,3.0
Travis Scott,Sicko Mode,['Travis Scott'],52,1.0,4.0,16,0.1875
Travis Scott & HVME,Goosebumps,"['Travis Scott', 'HVME']",20,47.0,85.0,11,3.4545454545454546
Trevor Daniel,Falling,['Trevor Daniel'],38,17.0,75.0,29,2.0
Trey Songz,Nobody Else But You,['Trey Songz'],3,92.0,99.0,1,7.0
Trippie Redd,Topanga,['Trippie Redd'],5,52.0,80.0,2,14.0
Trippie Redd Featuring DaBaby,Death,"['Trippie Redd', 'DaBaby']",7,59.0,97.0,1,38.0
Tucker Beathard,Rock On,['Tucker Beathard'],10,62.0,98.0,7,5.142857142857143
Tucker Wetmore,Wind Up Missin' You,['Tucker Wetmore'],43,31.0,89.0,39,1.4871794871794872
Twenty One Pilots,Heathens,['Twenty One Pilots'],39,2.0,14.0,11,1.0909090909090908
Twenty One Pilots,Ride,['Twenty One Pilots'],39,5.0,96.0,23,3.9565217391304346
Twenty One Pilots,Stressed Out,['Twenty One Pilots'],40,2.0,19.0,8,2.125
Twice,Strategy,['Twice'],17,51.0,92.0,5,8.2
Ty Dolla $ign Featuring E-40,Saved,"['Ty Dolla $ign', 'E-40']",9,81.0,93.0,7,1.7142857142857142
Tyga Featuring Offset,Taste,"['Tyga', 'Offset']",29,8.0,82.0,11,6.7272727272727275
Tyla,Water,['Tyla'],29,7.0,67.0,13,4.615384615384615
Tyler Hubbard,5 Foot 9,['Tyler Hubbard'],22,22.0,84.0,14,4.428571428571429
"Tyler, The Creator",Dogtooth,"['Tyler, The Creator']",4,33.0,81.0,1,48.0
"Tyler, The Creator",Lumberjack,"['Tyler, The Creator']",2,45.0,93.0,1,48.0
"Tyler, The Creator",Noid,"['Tyler, The Creator']",5,10.0,43.0,1,33.0
"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",Sticky,"['Tyler, The Creator', 'GloRilla', 'Sexyy Red', 'Lil Wayne']",20,10.0,14.0,1,4.0
"Tyler, The Creator Featuring Lola Young",Like Him,"['Tyler, The Creator', 'Lola Young']",28,29.0,45.0,1,16.0
Ugly God,Water,['Ugly God'],4,80.0,100.0,2,10.0
Usher Featuring Young Thug,No Limit,"['Usher', 'Young Thug']",20,32.0,80.0,12,4.0
Wale,My PYT,['Wale'],15,54.0,94.0,7,5.714285714285714
Wale Featuring Jeremih,On Chill,"['Wale', 'Jeremih']",23,22.0,86.0,9,7.111111111111111
Walk the Moon,One Foot,['Walk the Moon'],8,65.0,80.0,5,3.0
Walker Hayes,Fancy Like,['Walker Hayes'],45,3.0,51.0,15,3.2
WhoHeem,Lets Link,['WhoHeem'],3,86.0,90.0,1,4.0
William Michael Morgan,I Met A Girl,['William Michael Morgan'],9,60.0,99.0,5,7.8
Willow Featuring Travis Barker,transparentsoul,"['Willow', 'Travis Barker']",6,76.0,87.0,1,11.0
Wisin Featuring Ozuna,Escapate Conmigo,"['Wisin', 'Ozuna']",20,63.0,89.0,10,2.6
Wiz Khalifa Featuring Charlie Puth,See You Again,"['Wiz Khalifa', 'Charlie Puth']",12,30.0,42.0,2,6.0
X Ambassadors,Unsteady,['X Ambassadors'],34,20.0,99.0,27,2.925925925925926
XXXTENTACION,Hope,['XXXTENTACION'],2,70.0,80.0,1,10.0
XXXTENTACION,Look At Me!,['XXXTENTACION'],20,34.0,95.0,8,7.625
XXXTENTACION,Sad!,['XXXTENTACION'],38,1.0,17.0,15,1.0666666666666667
Xavi,La Diabla,['Xavi'],20,20.0,76.0,5,11.2
Xavi,La Victima,['Xavi'],15,46.0,91.0,5,9.0
YG Featuring A$AP Rocky,Handgun,"['YG', 'A$AP Rocky']",2,98.0,99.0,1,1.0
YG Marley,Praise Jah In The Moonlight,['YG Marley'],13,34.0,74.0,4,10.0
"YG, Tyga & Jon Z",Go Loko,"['YG', 'Tyga', 'Jon Z']",19,49.0,71.0,6,3.6666666666666665
YK Osiris,Worth It,['YK Osiris'],25,48.0,87.0,24,1.625
YNW Melly,Murder On My Mind,['YNW Melly'],20,14.0,95.0,4,20.25
YNW Melly & 9lokknine,223's,"['YNW Melly', '9lokknine']",19,34.0,87.0,3,17.666666666666668
